
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
129	5	-18.9634 MW
130	5	49.1282 MW
131	5	-86.8012 MW
132	5	-40.0939 MW
133	5	32.9649 MW
134	5	-21.8718 MW
135	5	-60.8718 MW
136	5	68.5836 MW
137	5	32.6972 MW
138	5	40.0131 MW
139	5	31.1823 MW
140	5	9.96629 MW
141	5	-0.829947 MW
142	5	-20.2052 MW
143	5	-6.91 MW
144	5	-13.9199 MW
145	5	-17.91 MW
146	5	18.4536 MW
147	5	-27.2486 MW
148	5	-47.035 MW
149	5	-2.5464 MW
150	5	-75.2486 MW
151	5	26.9904 MW
152	5	50.8947 MW
153	5	100 MW
154	5	31.9418 MW
155	5	-0.114831 MW
156	5	-0.114831 MW
157	5	25.9881 MW
158	5	20.4286 MW
159	5	3.45485 MW
160	5	16.9554 MW
161	5	13.9881 MW
162	5	32.3795 MW
163	5	10.1154 MW
164	5	-38.0782 MW
165	5	-9.62049 MW
166	5	-25.0131 MW
167	5	-2.81772 MW
168	5	9.96629 MW
169	5	10.0446 MW
170	5	71.1949 MW
171	5	37.9867 MW
172	5	40.225 MW
173	5	-11.9554 MW
174	5	25.3255 MW
175	5	30.5745 MW
176	5	29.0906 MW
177	5	25.3122 MW
178	5	9.2401 MW
179	5	9.22705 MW
180	5	6.41962 MW
181	5	6.46512 MW
182	5	4.41962 MW
183	5	-3.58038 MW
184	5	-35.0959 MW
185	5	21.6061 MW
186	5	9.10805 MW
1	6	-4.30275 MW
2	6	-7.69442 MW
3	6	-24.3028 MW
4	6	-36.6903 MW
5	6	-10.0041 MW
7	6	-23.8905 MW
8	6	3.46972 MW
9	6	91.7471 MW
10	6	51.5871 MW
11	6	51.4697 MW
12	6	32.4697 MW
13	6	-71.4414 MW
14	6	-20.3057 MW
15	6	-71.4414 MW
16	6	-58.9965 MW
17	6	16.6931 MW
18	6	3.29991 MW
19	6	6.52793 MW
20	6	20 MW
21	6	-17.3069 MW
22	6	-10.7001 MW
23	6	-21.2626 MW
24	6	-8.17682 MW
25	6	11.4324 MW
26	6	-18.4721 MW
27	6	11.4379 MW
28	6	78.6745 MW
29	6	30.2043 MW
30	6	-13.7023 MW
31	6	0.596221 MW
32	6	16.4926 MW
33	6	1.42669 MW
34	6	-1.50743 MW
35	6	-15.5074 MW
36	6	-25.5074 MW
37	6	7.1578 MW
38	6	-89.3034 MW
39	6	49.6381 MW
40	6	3.5789 MW
41	6	3.5789 MW
42	6	33.7017 MW
43	6	80.0294 MW
44	6	99.1901 MW
45	6	23.1651 MW
46	6	-2.34752 MW
47	6	12.9551 MW
48	6	6.16512 MW
49	6	-17.8349 MW
50	6	0.209833 MW
51	6	-21.8162 MW
52	6	-14.7018 MW
53	6	17.0449 MW
54	6	-11.5676 MW
55	6	1.9854 MW
56	6	-26.664 MW
57	6	17.7867 MW
58	6	-22.308 MW
59	6	-10.692 MW
60	6	100 MW
61	6	30.5361 MW
62	6	20.5403 MW
63	6	-99.7902 MW
64	6	3.53611 MW
65	6	22.8001 MW
66	6	-4.4078 MW
67	6	-14.1999 MW
68	6	-27.8039 MW
69	6	-27.8039 MW
70	6	-0.213259 MW
71	6	-16.2133 MW
72	6	-25.8586 MW
73	6	-43.3546 MW
74	6	-22.7034 MW
75	6	-14.8122 MW
76	6	-26.7872 MW
77	6	-29.9162 MW
78	6	-34.8122 MW
79	6	36.971 MW
80	6	46.2904 MW
81	6	21.9679 MW
82	6	21.8169 MW
83	6	-88.9712 MW
84	6	-88.9712 MW
85	6	-20.4831 MW
86	6	19.971 MW
87	6	23.096 MW
88	6	6.19437 MW
89	6	5.09599 MW
90	6	-17.904 MW
91	6	-3.68454 MW
92	6	-12.8168 MW
93	6	-20.591 MW
94	6	9.14546 MW
95	6	-20.6721 MW
96	6	-7.97099 MW
97	6	5.80563 MW
98	6	-18.3232 MW
99	6	-19.2432 MW
100	6	-31.1034 MW
101	6	-39.0667 MW
102	6	100 MW
103	6	-100 MW
104	6	-9.10345 MW
105	6	22.3217 MW
106	6	-9.19507e-08 MW
107	6	-21.9402 MW
108	6	-8.88308 MW
109	6	-100 MW
110	6	-100 MW
111	6	-24.9637 MW
112	6	59.5254 MW
113	6	36.8831 MW
114	6	-9.0847 MW
115	6	68.6101 MW
116	6	2.42747e-07 MW
117	6	86.1253 MW
118	6	100 MW
119	6	83.8721 MW
120	6	-3.5789 MW
121	6	18.3321 MW
122	6	8.95096 MW
123	6	-3.5789 MW
124	6	-2.62822e-09 MW
125	6	-28.6516 MW
126	6	-18.6539 MW
127	6	51.9532 MW
128	6	-49.0468 MW
129	6	-18.9532 MW
130	6	49.1227 MW
131	6	-86.8134 MW
132	6	-40.0995 MW
133	6	32.9617 MW
134	6	-21.8773 MW
135	6	-60.8773 MW
136	6	68.6101 MW
137	6	32.6982 MW
138	6	40.0142 MW
139	6	31.1828 MW
140	6	9.96678 MW
141	6	-0.830514 MW
142	6	-20.2077 MW
143	6	-6.91025 MW
144	6	-13.9203 MW
145	6	-17.9102 MW
146	6	18.4536 MW
147	6	-27.2488 MW
148	6	-47.0353 MW
149	6	-2.5464 MW
150	6	-75.2488 MW
151	6	26.9904 MW
152	6	50.8947 MW
153	6	99.9996 MW
154	6	31.9417 MW
155	6	-0.1149 MW
156	6	-0.1149 MW
157	6	25.988 MW
158	6	20.4285 MW
159	6	3.45467 MW
160	6	16.9552 MW
161	6	13.988 MW
162	6	32.3797 MW
163	6	10.1156 MW
164	6	-38.0789 MW
165	6	-9.6203 MW
166	6	-25.0142 MW
167	6	-2.81723 MW
168	6	9.96678 MW
169	6	10.0448 MW
170	6	71.1949 MW
171	6	37.9867 MW
172	6	40.225 MW
173	6	-11.9552 MW
174	6	25.3255 MW
175	6	30.5745 MW
176	6	29.0906 MW
177	6	25.3122 MW
178	6	9.2401 MW
179	6	9.22705 MW
180	6	6.41962 MW
181	6	6.46512 MW
182	6	4.41962 MW
183	6	-3.58038 MW
184	6	-35.0959 MW
185	6	21.6061 MW
186	6	9.04487 MW
Finished writing Internal Transmission lines' MW Flows
